experiment_id,plan_status,scope,signal_key,signal,message,can_id,unit,evidence_requirement,suggested_role,suggested_priority,suggested_report_position,suggested_order,derivation_reason,semantic_status,confidence,uncertainty_flags,review_required,review_decision,effective_role,effective_priority,effective_report_position,effective_order,decision_source,human_reason,reviewer,reviewed_at,chinese_semantic
TM3-008,APPROVED,THIS_EXPERIMENT_ONLY,NetworkFrameRate_derived,报文频率(派生),ASC,derived,frames/s,ER-08+ER-09,采集域通信结果/静默代理,P0,CORE_TIMELINE+NETWORK_WAKE_SUMMARY,10,由网络分批退出和末段静默判定需求推导,PARTIALLY_VALIDATED,MEDIUM,PROXY_OBSERVATION+SUFFICIENCY_RULE_UNCONFIRMED,YES,ACCEPT,采集域通信结果/静默代理,P0,CORE_TIMELINE+NETWORK_WAKE_SUMMARY,10,HUMAN,接受为当前采集域通信结果；不得外推整车休眠或ECU断电,User,2026-09-02,当前采集域每秒CAN帧数
TM3-008,APPROVED,THIS_EXPERIMENT_ONLY,ActiveCanIdCount_derived,活跃CAN_ID数(派生),ASC,derived,count,ER-08+ER-09,采集域控制器活跃度代理,P1,NETWORK_WAKE_SUMMARY,20,由控制器分批停止通信需求推导,PARTIALLY_VALIDATED,MEDIUM,PROXY_OBSERVATION+BOUNDARY_CROSSING,YES,ACCEPT,采集域控制器活跃度代理,P1,NETWORK_WAKE_SUMMARY,20,HUMAN,接受为当前采集域活跃度代理；不等同控制器数量或整车网络覆盖,User,2026-09-02,当前采集域每秒活跃CAN ID数量
TM3-008,APPROVED,THIS_EXPERIMENT_ONLY,CanIdLastSeenTime_derived,逐CAN_ID最后出现时间(派生),ASC,derived,s,ER-07+ER-08,分批通信退出时序代理,P0,CORE_TIMELINE+NETWORK_WAKE_SUMMARY,30,由识别各报文分批退出顺序需求推导,INSUFFICIENT_EVIDENCE,MEDIUM,PROXY_OBSERVATION+SUFFICIENCY_RULE_UNCONFIRMED,YES,ACCEPT,分批通信退出时序代理,P0,CORE_TIMELINE+NETWORK_WAKE_SUMMARY,30,HUMAN,接受为逐ID停止出现的系统结果；不等同ECU断电时间,User,2026-09-02,各CAN ID在分析窗口内最后出现的时间
TM3-008,APPROVED,THIS_EXPERIMENT_ONLY,VCLEFT_frontOccupancyStatus,VCLEFT_frontOccupancyStatus,VCLEFT_restraintStatus,0x30A,enum,ER-02,驾驶员离座反馈候选,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,40,由驾驶员离座物理节点推导,PARTIALLY_VALIDATED,MEDIUM,DBC_VERSION_CONFLICT+STATE_APPLICABILITY_UNCERTAIN,YES,OVERRIDE,驾驶员离座反馈候选/可见性验证目标,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,40,HUMAN,接受收窄方案；无帧或不适配时保留ER-02 GAP,User,2026-09-02,驾驶位占座状态候选
TM3-008,APPROVED,THIS_EXPERIMENT_ONLY,VCLEFT_frontLatchStatus,VCLEFT_frontLatchStatus,VCLEFT_doorStatus,0x102,enum,ER-02+ER-03+ER-07,驾驶门闩执行反馈,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,50,由开门和关门状态区分需求推导,PARTIALLY_VALIDATED,MEDIUM,DBC_VERSION_CONFLICT+BOUNDARY_CROSSING,YES,ACCEPT,驾驶门闩执行反馈,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,50,HUMAN,接受为门闩反馈；保留跨DBC位段和非Observed Event边界,User,2026-09-02,驾驶门门闩状态反馈候选
TM3-008,APPROVED,THIS_EXPERIMENT_ONLY,VCSEC_lockRequestType,VCSEC_lockRequestType,VCSEC_authentication,0x339,enum,ER-03,锁止请求类型候选,P0,CORE_TIMELINE+BODY_INPUT_TABLE,60,由区分钥匙卡落锁请求来源需求推导,INSUFFICIENT_EVIDENCE,MEDIUM,NODE_BINDING_UNCERTAIN+SEMANTIC_CANDIDATE,YES,OVERRIDE,钥匙卡/NFC锁止请求类型候选,P1,CORE_TIMELINE+BODY_INPUT_TABLE,60,HUMAN,接受收窄为P1请求候选；不能单独证明实际刷卡,User,2026-09-02,车辆锁止请求类型候选
TM3-008,APPROVED,THIS_EXPERIMENT_ONLY,VCSEC_simpleLockStatus,VCSEC_simpleLockStatus,VCSEC_authentication,0x339,enum,ER-03+ER-07,整车简化锁止反馈候选,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,70,由未锁和已锁状态反馈需求推导,INSUFFICIENT_EVIDENCE,MEDIUM,SEMANTIC_CANDIDATE+SUFFICIENCY_RULE_UNCONFIRMED,YES,ACCEPT,整车简化锁止反馈候选,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,70,HUMAN,接受为聚合锁止反馈；不能替代机械锁止或外部反馈,User,2026-09-02,整车简化锁止状态候选
TM3-008,APPROVED,THIS_EXPERIMENT_ONLY,VCSEC_vehicleLockStatus,VCSEC_vehicleLockStatus,VCSEC_authentication,0x339,enum,ER-03,锁止方式/结果消费者状态候选,P1,BODY_INPUT_TABLE,80,由锁止来源和结果交叉验证需求推导,INSUFFICIENT_EVIDENCE,MEDIUM,MULTIPLE_POSSIBLE_ROLES+SEMANTIC_CANDIDATE,YES,ACCEPT,锁止方式/结果消费者状态候选,P1,BODY_INPUT_TABLE,80,HUMAN,接受为消费者状态交叉验证；不重复计为独立物理证据,User,2026-09-02,车辆锁止状态及方式候选
TM3-008,APPROVED,THIS_EXPERIMENT_ONLY,UI_lockRequest,UI_lockRequest,UI_vehicleControl,0x273,enum,ER-03,UI层锁止请求消费者候选,P2,ENGINEERING_AUDIT+BODY_INPUT_TABLE,90,由落锁请求直接观测缺口推导,INSUFFICIENT_EVIDENCE,LOW,NODE_BINDING_UNCERTAIN+PROXY_OBSERVATION,YES,OVERRIDE,CONSUMER_STATE_CANDIDATE,P1,BODY_INPUT_TABLE+ENGINEERING_AUDIT,90,HUMAN,最新人工决定：进入ASC验证；验证前禁止解释为钥匙卡落锁REQUEST且不得作为ER-03独立充分证据,User,2026-09-02,用户界面层锁止请求候选
TM3-008,APPROVED,THIS_EXPERIMENT_ONLY,DI_gear,DI_gear,DI_systemStatus,0x118,enum,ER-01+ER-04,挡位反馈/起始状态门,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,100,由起始P挡稳定和后续状态保持需求推导,STRONGLY_SUPPORTED,HIGH,PROXY_OBSERVATION,YES,ACCEPT,挡位反馈/起始状态门,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,100,HUMAN,接受为P挡反馈和起始状态门；不承担下电请求或需求撤销证明,User,2026-09-02,电驱挡位反馈
