experiment_id,signal_key,signal,message,can_id,unit,evidence_requirement,suggested_role,suggested_priority,suggested_report_position,suggested_order,derivation_reason,semantic_status,confidence,uncertainty_flags,review_required,chinese_semantic
TM3-008,NetworkFrameRate_derived,报文频率(派生),ASC,derived,frames/s,ER-08+ER-09,采集域通信结果/静默代理,P0,CORE_TIMELINE+NETWORK_WAKE_SUMMARY,10,由网络分批退出和末段静默判定需求推导,PARTIALLY_VALIDATED,MEDIUM,PROXY_OBSERVATION+SUFFICIENCY_RULE_UNCONFIRMED,YES,当前采集域每秒CAN帧数
TM3-008,ActiveCanIdCount_derived,活跃CAN_ID数(派生),ASC,derived,count,ER-08+ER-09,采集域控制器活跃度代理,P1,NETWORK_WAKE_SUMMARY,20,由控制器分批停止通信需求推导,PARTIALLY_VALIDATED,MEDIUM,PROXY_OBSERVATION+BOUNDARY_CROSSING,YES,当前采集域每秒活跃CAN ID数量
TM3-008,CanIdLastSeenTime_derived,逐CAN_ID最后出现时间(派生),ASC,derived,s,ER-07+ER-08,分批通信退出时序代理,P0,CORE_TIMELINE+NETWORK_WAKE_SUMMARY,30,由识别各报文分批退出顺序需求推导,INSUFFICIENT_EVIDENCE,MEDIUM,PROXY_OBSERVATION+SUFFICIENCY_RULE_UNCONFIRMED,YES,各CAN ID在分析窗口内最后出现的时间
TM3-008,VCLEFT_frontOccupancyStatus,VCLEFT_frontOccupancyStatus,VCLEFT_restraintStatus,0x30A,enum,ER-02,驾驶员离座反馈候选,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,40,由驾驶员离座物理节点推导,PARTIALLY_VALIDATED,MEDIUM,DBC_VERSION_CONFLICT+STATE_APPLICABILITY_UNCERTAIN,YES,驾驶位占座状态候选
TM3-008,VCLEFT_frontLatchStatus,VCLEFT_frontLatchStatus,VCLEFT_doorStatus,0x102,enum,ER-02+ER-03+ER-07,驾驶门闩执行反馈,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,50,由开门和关门状态区分需求推导,PARTIALLY_VALIDATED,MEDIUM,DBC_VERSION_CONFLICT+BOUNDARY_CROSSING,YES,驾驶门门闩状态反馈候选
TM3-008,VCSEC_lockRequestType,VCSEC_lockRequestType,VCSEC_authentication,0x339,enum,ER-03,锁止请求类型候选,P0,CORE_TIMELINE+BODY_INPUT_TABLE,60,由区分钥匙卡落锁请求来源需求推导,INSUFFICIENT_EVIDENCE,MEDIUM,NODE_BINDING_UNCERTAIN+SEMANTIC_CANDIDATE,YES,车辆锁止请求类型候选
TM3-008,VCSEC_simpleLockStatus,VCSEC_simpleLockStatus,VCSEC_authentication,0x339,enum,ER-03+ER-07,整车简化锁止反馈候选,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,70,由未锁和已锁状态反馈需求推导,INSUFFICIENT_EVIDENCE,MEDIUM,SEMANTIC_CANDIDATE+SUFFICIENCY_RULE_UNCONFIRMED,YES,整车简化锁止状态候选
TM3-008,VCSEC_vehicleLockStatus,VCSEC_vehicleLockStatus,VCSEC_authentication,0x339,enum,ER-03,锁止方式/结果消费者状态候选,P1,BODY_INPUT_TABLE,80,由锁止来源和结果交叉验证需求推导,INSUFFICIENT_EVIDENCE,MEDIUM,MULTIPLE_POSSIBLE_ROLES+SEMANTIC_CANDIDATE,YES,车辆锁止状态及方式候选
TM3-008,UI_lockRequest,UI_lockRequest,UI_vehicleControl,0x273,enum,ER-03,UI层锁止请求消费者候选,P2,ENGINEERING_AUDIT+BODY_INPUT_TABLE,90,由落锁请求直接观测缺口推导,INSUFFICIENT_EVIDENCE,LOW,NODE_BINDING_UNCERTAIN+PROXY_OBSERVATION,YES,用户界面层锁止请求候选
TM3-008,DI_gear,DI_gear,DI_systemStatus,0x118,enum,ER-01+ER-04,挡位反馈/起始状态门,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,100,由起始P挡稳定和后续状态保持需求推导,STRONGLY_SUPPORTED,HIGH,PROXY_OBSERVATION,YES,电驱挡位反馈
TM3-008,DI_systemState,DI_systemState,DI_systemStatus,0x118,enum,ER-01+ER-04+ER-07,电驱执行状态/ENABLE退出候选,P0,CORE_TIMELINE+CONTROL_RELATIONSHIP,110,由可驱动状态建立与退出需求推导,STRONGLY_SUPPORTED,HIGH,BOUNDARY_CROSSING+MULTIPLE_POSSIBLE_ROLES,YES,电驱系统运行状态候选
TM3-008,UI_readyForDrive,UI_readyForDrive,UI_status,0x353,boolean,ER-01+ER-04,显示/消费者层可驱动反馈候选,P1,READY_CROSSCHECK_TABLE,120,由READY状态的独立消费者层交叉验证需求推导,PARTIALLY_VALIDATED,MEDIUM,DBC_VERSION_CONFLICT+PROXY_OBSERVATION,YES,用户界面可驱动状态候选
