experiment_id,signal,chinese_semantic,control_role,suggested_priority,message,can_id,mux,unit,dbc_source,semantic_status,confidence,uncertainty_flags,review_status
TM3-015,BMS_modelTMax,Pack模型最高温度候选（是否代表实测单体/模组最高温度待验证）,Pack热状态,P1,BMS_bmbMinMax,0x332,m0,degC,input/tesla_model3_ONYX.dbc,DBC定义候选,MEDIUM,MUX_APPLICABILITY_UNCONFIRMED+PHYSICAL_MEANING_UNCONFIRMED,PENDING
TM3-015,BMS_modelTMin,Pack模型最低温度候选（是否代表实测单体/模组最低温度待验证）,Pack热状态,P1,BMS_bmbMinMax,0x332,m0,degC,input/tesla_model3_ONYX.dbc,DBC定义候选,MEDIUM,MUX_APPLICABILITY_UNCONFIRMED+PHYSICAL_MEANING_UNCONFIRMED,PENDING
TM3-015,BMS_minPackTemperature,Pack最低温度候选（不能单独代表温度范围）,Pack热状态,P2,BMS_status,0x212,无,degC,input/tesla_model3_ONYX.dbc,强候选,MEDIUM,DBC_VERSION_CONFLICT+PROXY_OBSERVATION,PENDING
TM3-015,CP_pinTemperature1,充电接口针脚温度1候选（具体针脚对应关系待验证）,接口热状态,P2,CP_sensorData,0x75D,m1,degC,input/tesla_model3_ONYX.dbc,DBC定义候选,LOW,MUX_APPLICABILITY_UNCONFIRMED+PHYSICAL_MEANING_UNCONFIRMED,PENDING
TM3-015,CP_pinTemperature2,充电接口针脚温度2候选（具体针脚对应关系待验证）,接口热状态,P2,CP_sensorData,0x75D,m1,degC,input/tesla_model3_ONYX.dbc,DBC定义候选,LOW,MUX_APPLICABILITY_UNCONFIRMED+PHYSICAL_MEANING_UNCONFIRMED,PENDING
TM3-015,CP_pinTemperature3,充电接口针脚温度3候选（具体针脚对应关系待验证）,接口热状态,P2,CP_sensorData,0x75D,m1,degC,input/tesla_model3_ONYX.dbc,DBC定义候选,LOW,MUX_APPLICABILITY_UNCONFIRMED+PHYSICAL_MEANING_UNCONFIRMED,PENDING
TM3-015,BMS_activeHeatingWorthwhile,BMS判断主动加热是否值得的候选状态（不是加热执行反馈）,热管理条件/决策,P2,BMS_status,0x212,无,enum,input/tesla_model3_ONYX.dbc,DBC定义候选,LOW,PHYSICAL_MEANING_UNCONFIRMED+MULTIPLE_POSSIBLE_ROLES,PENDING
TM3-015,BMS_hvacPowerRequest,BMS向热管理系统提出功率请求的候选状态（具体请求内容待验证）,热管理请求,P2,BMS_status,0x212,无,enum,input/tesla_model3_ONYX.dbc,DBC定义候选,LOW,NODE_BINDING_UNCERTAIN+PHYSICAL_MEANING_UNCONFIRMED,PENDING
TM3-015,BMS_flowRequest,BMS电池回路冷却液流量请求候选,热管理请求,P1,BMS_thermalStatus,0x312,无,LPM,input/tesla_model3_ONYX.dbc,DBC定义候选,MEDIUM,PHYSICAL_MEANING_UNCONFIRMED,PENDING
TM3-015,BMS_inletActiveCoolTargetT,BMS电池入口主动冷却目标温度候选,热管理目标,P1,BMS_thermalStatus,0x312,无,degC,input/tesla_model3_ONYX.dbc,DBC定义候选,MEDIUM,PHYSICAL_MEANING_UNCONFIRMED,PENDING
TM3-015,BMS_inletActiveHeatTargetT,BMS电池入口主动加热目标温度候选,热管理目标,P1,BMS_thermalStatus,0x312,无,degC,input/tesla_model3_ONYX.dbc,DBC定义候选,MEDIUM,PHYSICAL_MEANING_UNCONFIRMED,PENDING
