requirement_id,status,evidence_summary,limitation
ER-01,INSUFFICIENT_EVIDENCE,开口/插枪附近有位变化，但DoorOpen为短脉冲，CablePresent/Secured方向与名称冲突,SEMANTIC_VALIDATION_FAILED；保留原始边沿，不确认字段名称语义
ER-02,INSUFFICIENT_EVIDENCE,EVSE类型候选在插枪窗0→1，但数字通信、Request、Accept、gbState全程0；补充FC_statusCode在115.328s进入准备态候选、133.029s进入运行态候选、245.836s退出,协商细节仍不足；状态码主体和枚举语义尚未完全确认
ER-03,SUPPORTED,多DBC补充显示：115.845s允许DC链路上电；134.515s快充接触器请求闭合；134.847s正负辅助触点闭合；CP日志139.525s进入ENABLED；随后电压、电流建立,支持本次高压充电状态链存在，不确认OEM完整许可条件、控制器内部算法或车型级永久语义
ER-04,SUPPORTED,CP候选电压约140.028s建立、电流145.028s建立；Pack电流同步进入充电方向；FC_dcVoltage/current分别在140.030s/145.030s建立并于246.236s归零，提供独立时序交叉验证,多套电流幅值仍冲突，只支持建立/退出时序，不形成准确功率或效率结论
ER-05,SUPPORTED,173.73–233.23s取得59.50s短稳态；CP候选电流128.108A，SOC 28.2%→30.5%,条件化短稳态有效；不代表峰值、全SOC曲线或长期能力
ER-06,SUPPORTED,停止候选245.7336s后，CP电流246.2332s归0，UI状态246.3925s退出；BMS快充接触器请求246.518s转OPEN、辅助触点246.848s反馈OPEN,两个停止Signal语义仍未完全确认；结论依赖状态和电流退出闭环
ER-07,INSUFFICIENT_EVIDENCE,连接类型约273.534s退出，锁止/门候选随后变化,无独立解锁和拔枪实际时刻，且Cable/Latch语义未通过
ER-08,SUPPORTED,SOC、低压及部分热状态有覆盖；SOC由27.5%升至31.0%,多个温度/能力字段语义失败，不能把所有解码值当有效条件
ER-09,INSUFFICIENT_EVIDENCE,DI_gear仅解码为7=SNA；DI_systemState在电流阶段为1=IDLE,只记录状态共存；挡位条件本次无有效DBC证据
ER-10,INSUFFICIENT_EVIDENCE,BMS_modelTMax 33.5→35.0°C候选可读；多项温度目标/执行字段存在SNA、越界、无帧或不合理突变,热管理执行器覆盖得到验证，但请求—执行—温度闭环尚不足；SEMANTIC_VALIDATION_FAILED项不得解释
