candidate,decision,priority,w1_w2_w3_median_raw,w1_w2_w3_range_raw,w1_w2_w3_mode_fraction,fall_xor_mask_hex,rise_xor_mask_hex,w2_unique_raw,dominant_nonzero_mod_delta,dominant_delta_fraction,reason,semantic_status
0x132/DLC6/B2,RETAIN,P1,178/86/178,3/1/2,0.629/0.556/0.656,0xE4,0xE4,2,255,0.500942,三窗口低离散、两侧方向相反且回到初始附近，并具有连续边沿轨迹,ANONYMOUS_RAW_ONLY
0x204/DLC8/B4,RETAIN,P1,159/0/160,3/0/3,0.451/1.000/0.552,0x9F,0xA0,1,,0.0,三窗口低离散、两侧方向相反且回到初始附近，并具有连续边沿轨迹,ANONYMOUS_RAW_ONLY
0x252/DLC8/B4,RETAIN,P1,244/104/244,0/0/0,1.000/1.000/1.000,0x9C,0x9C,1,,0.0,三窗口低离散、两侧方向相反且回到初始附近，并具有连续边沿轨迹,ANONYMOUS_RAW_ONLY
0x292/DLC8/B6,RETAIN,P1,131/72/130,0/0/1,1.000/1.000/0.794,0xCB,0xCA,1,,0.0,三窗口低离散、两侧方向相反且回到初始附近，并具有连续边沿轨迹,ANONYMOUS_RAW_ONLY
0x333/DLC5/B1,RETAIN,P1,32/16/32,0/0/0,1.000/1.000/1.000,0x30,0x30,1,,0.0,三窗口低离散、两侧方向相反且回到初始附近，并具有连续边沿轨迹,ANONYMOUS_RAW_ONLY
0x204/DLC8/B2,RETAIN_WITH_FIELD_BOUNDARY,P2,70/36/70,1/0/1,0.669/1.000/0.565,0x62,0x62,1,,0.0,可逆窗口关系成立，但相邻byte共同变化、脉冲占空或两侧动态不对称，单byte解释不充分,ANONYMOUS_RAW_ONLY
0x204/DLC8/B3,RETAIN_WITH_FIELD_BOUNDARY,P2,70/36/70,1/0/1,0.669/1.000/0.565,0x62,0x62,1,,0.0,可逆窗口关系成立，但相邻byte共同变化、脉冲占空或两侧动态不对称，单byte解释不充分,ANONYMOUS_RAW_ONLY
0x212/DLC8/B2,RETAIN_WITH_FIELD_BOUNDARY,P2,31/15/31,1/0/1,0.501/1.000/0.602,0x10,0x10,1,,0.0,可逆窗口关系成立，但相邻byte共同变化、脉冲占空或两侧动态不对称，单byte解释不充分,ANONYMOUS_RAW_ONLY
0x212/DLC8/B5,RETAIN_WITH_FIELD_BOUNDARY,P2,28/14/28,0/0/0,1.000/1.000/1.000,0x12,0x12,1,,0.0,可逆窗口关系成立，但相邻byte共同变化、脉冲占空或两侧动态不对称，单byte解释不充分,ANONYMOUS_RAW_ONLY
0x252/DLC8/B5,RETAIN_WITH_FIELD_BOUNDARY,P2,217/209/217,8/0/8,0.997/1.000/0.990,0x08,0x08,1,,0.0,可逆窗口关系成立，但相邻byte共同变化、脉冲占空或两侧动态不对称，单byte解释不充分,ANONYMOUS_RAW_ONLY
0x264/DLC6/B2,RETAIN_WITH_FIELD_BOUNDARY,P2,208/168/208,0/0/0,1.000/1.000/1.000,0x78,0x78,1,,0.0,可逆窗口关系成立，但相邻byte共同变化、脉冲占空或两侧动态不对称，单byte解释不充分,ANONYMOUS_RAW_ONLY
0x264/DLC6/B3,RETAIN_WITH_FIELD_BOUNDARY,P2,70/36/70,3/1/3,0.665/0.990/0.561,0x62,0x62,2,255,0.5,可逆窗口关系成立，但相邻byte共同变化、脉冲占空或两侧动态不对称，单byte解释不充分,ANONYMOUS_RAW_ONLY
0x2A3/DLC7/B4,RETAIN_WITH_FIELD_BOUNDARY,P2,18/9/18,0/0/0,1.000/1.000/1.000,0x1B,0x1B,1,,0.0,可逆窗口关系成立，但相邻byte共同变化、脉冲占空或两侧动态不对称，单byte解释不充分,ANONYMOUS_RAW_ONLY
0x472/DLC8/B1,RETAIN_WITH_FIELD_BOUNDARY,P2,36/20/36,0/0/0,1.000/1.000/1.000,0x30,0x30,1,,0.0,可逆窗口关系成立，但相邻byte共同变化、脉冲占空或两侧动态不对称，单byte解释不充分,ANONYMOUS_RAW_ONLY
0x22A/DLC4/B2,DOWNRANK,P3,109/93/109,0/16/16,1.000/0.887/0.810,0x30,0x30,2,240,0.5,变化较小、窗口内存在额外层级或恢复偏差，当前不能排除慢漂移或偶然共变,ANONYMOUS_RAW_ONLY
