hypothesis_id,source_group_id,can_id,candidate_partition,partition_mask_hex,S0,S1,S2,S3,S4,S5,members_same_response,stimulus_label,disposition,competing_explanations,support_or_refutation,evidence_boundary
FH01,G01,0x1FA,B0.b3;b4,0x18,0x00,0x18,0x18,0x18,0x18,0x00,True,hvac_ventilation_on_related,RETAINED_UNRESOLVED_BOUNDARY,"one 2-bit field; two synchronized flags; copied or derived bits","five sessions reproduce one partition response; no tested state separates b3 and b4",field boundary and system semantics unresolved
FH02A,G02,0x20C,B1.b3,0x08,0,0,0,1,0,0,True,ac_ui_toggle_related_reversible,RETAINED_SPLIT_PARTITION,"single-bit field; member of wider enum; copied or derived flag","b3 changes only with S2-S3-S4 A/C UI sequence; refutes one-response 0x18 group",raw association only
FH02B,G02,0x20C,B1.b4,0x10,0,1,1,1,1,0,True,hvac_ventilation_on_related,RETAINED_SPLIT_PARTITION,"single-bit field; member of wider enum; copied or derived flag","b4 follows HVAC on/off states; refutes one-response 0x18 group",raw association only
FH03,G03,0x20C,B4.b1,0x02,0,0,0,0,0,0,True,no_stimulus_variation,SUSPENDED_NO_VARIATION,"constant bit in tested states; unexercised field member; unrelated bit","five sessions contain no variation under this design; cannot support a stimulus-linked field",no inference beyond tested six states
FH04,G04,0x20C,B5.b0,0x01,0,0,1,1,1,0,True,fan_level_sensitive_2_to_6,RETAINED_SINGLE_BIT_HYPOTHESIS,"single-bit field; one bit of wider fan encoding; copied or derived flag","five sessions reproduce sensitivity between UI fan 2 and 6",only two fan levels; boundary and semantics unresolved
FH05,G05,0x20C,B7.b3,0x08,0,1,0,0,0,0,True,fan_level_sensitive_2_to_6,RETAINED_SINGLE_BIT_HYPOTHESIS,"single-bit field; one bit of wider fan encoding; copied or derived flag","five sessions reproduce sensitivity between UI fan 2 and 6",only two fan levels; boundary and semantics unresolved
FH06,G06,0x253,B7.b4,0x10,1,0,0,0,0,1,True,hvac_ventilation_on_related,RETAINED_SINGLE_BIT_HYPOTHESIS,"active-low single-bit field; member of wider enum; copied or derived flag","five sessions reproduce inverse HVAC on/off association",raw association only
FH07A,G07,0x282,B0.b2,0x04,0,1,1,1,1,0,True,hvac_ventilation_on_related,RETAINED_SPLIT_PARTITION,"single-bit field; member of wider enum; copied or derived flag","b2 follows HVAC on/off states; refutes one-response 0x44 group",raw association only
FH07B,G07,0x282,B0.b6,0x40,0,1,0,0,0,0,True,fan_level_sensitive_2_to_6,RETAINED_SPLIT_PARTITION,"single-bit field; one bit of wider fan encoding; copied or derived flag","b6 separates UI fan 2 from 6; refutes one-response 0x44 group",only two fan levels; boundary and semantics unresolved
FH08,G08,0x282,B1.b2,0x04,0,1,1,1,1,0,True,hvac_ventilation_on_related,RETAINED_SINGLE_BIT_HYPOTHESIS,"single-bit field; member of wider enum; copied or derived flag","five sessions reproduce HVAC on/off association",raw association only
FH09,G09,0x282,B2.b1,0x02,0,0,1,1,1,0,True,fan_level_sensitive_2_to_6,RETAINED_SINGLE_BIT_HYPOTHESIS,"single-bit field; one bit of wider fan encoding; copied or derived flag","five sessions reproduce sensitivity between UI fan 2 and 6",only two fan levels; boundary and semantics unresolved
FH10,G10,0x282,B3.b3,0x08,0,0,1,1,1,0,True,fan_level_sensitive_2_to_6,RETAINED_SINGLE_BIT_HYPOTHESIS,"single-bit field; one bit of wider fan encoding; copied or derived flag","five sessions reproduce sensitivity between UI fan 2 and 6",only two fan levels; boundary and semantics unresolved
FH11,G11,0x2A1,B5.b0,0x01,0,0,0,1,0,0,True,ac_ui_toggle_related_reversible,RETAINED_SINGLE_BIT_HYPOTHESIS,"single-bit field; member of wider enum; copied or derived flag","five sessions reproduce S2-S3-S4 A/C UI association",raw association only; no control-layer assignment
FH12,G12,0x2A7,B7.b0;b2,0x05,0x04,0x04,0x04,0x01,0x04,0x04,True,ac_ui_toggle_related_reversible,RETAINED_UNRESOLVED_BOUNDARY,"one 2-bit enum with 0x04/0x01 states; two complementary flags; copied or derived bits","five sessions reproduce complementary transition; no tested state separates the alternatives",field boundary and system semantics unresolved
FH13,G13,0x2BF,B5.b3;b4,0x18,0x00,0x00,0x00,0x18,0x00,0x00,True,ac_ui_toggle_related_reversible,RETAINED_UNRESOLVED_BOUNDARY,"one 2-bit field; two synchronized flags; copied or derived bits","five sessions reproduce one partition response; no tested state separates b3 and b4",field boundary and system semantics unresolved
FH14,G14,0x2F3,B3.b2,0x04,0,1,1,1,1,0,True,hvac_ventilation_on_related,RETAINED_SINGLE_BIT_HYPOTHESIS,"single-bit field; member of wider enum; copied or derived flag","five sessions reproduce HVAC on/off association",raw association only
FH15,G15,0x323,B4.b1;b2,0x06,0x02,0x04,0x04,0x04,0x04,0x02,True,hvac_ventilation_on_related,RETAINED_UNRESOLVED_BOUNDARY,"one 2-bit enum with 0x02/0x04 states; two complementary flags; copied or derived bits","five sessions reproduce complementary transition; no tested state separates the alternatives",field boundary and system semantics unresolved
FH16,G16,0x361,B3.b1;b2,0x06,0x02,0x02,0x02,0x04,0x02,0x02,True,ac_ui_toggle_related_reversible,RETAINED_UNRESOLVED_BOUNDARY,"one 2-bit enum with 0x02/0x04 states; two complementary flags; copied or derived bits","five sessions reproduce complementary transition; no tested state separates the alternatives",field boundary and system semantics unresolved
