signal,definition_variants,sources,status
BMS_chgPowerAvailable,2,3,DBC_DEFINITION_CONFLICT
BMS_inletActiveCoolTargetT,2,2,DBC_DEFINITION_CONFLICT
BMS_inletActiveHeatTargetT,2,2,DBC_DEFINITION_CONFLICT
BMS_packCurrent,2,2,DBC_DEFINITION_CONFLICT
BMS_uiChargeStatus,2,3,DBC_DEFINITION_CONFLICT
CP_chargeCablePresent,2,3,DBC_DEFINITION_CONFLICT
CP_chargeCableSecured,2,3,DBC_DEFINITION_CONFLICT
CP_chargeDoorOpen,2,3,DBC_DEFINITION_CONFLICT
CP_chargeShutdownRequest,2,3,DBC_DEFINITION_CONFLICT
CP_evseChargeType,2,4,DBC_DEFINITION_CONFLICT
CP_gbState,2,3,DBC_DEFINITION_CONFLICT
CP_hvChargeStatus,2,3,DBC_DEFINITION_CONFLICT
CP_latchState,2,3,DBC_DEFINITION_CONFLICT
CP_numAlertsSet,2,3,DBC_DEFINITION_CONFLICT
CP_pinTemperature1,2,3,DBC_DEFINITION_CONFLICT
CP_pinTemperature2,2,3,DBC_DEFINITION_CONFLICT
CP_pinTemperature3,2,3,DBC_DEFINITION_CONFLICT
DI_gear,3,8,DBC_DEFINITION_CONFLICT
DI_systemState,3,8,DBC_DEFINITION_CONFLICT
PCS_dcdcLvBusVolt,2,3,DBC_DEFINITION_CONFLICT
VCFRONT_compressorState,2,3,DBC_DEFINITION_CONFLICT
VCFRONT_pumpBatteryRPMActual,2,3,DBC_DEFINITION_CONFLICT
VCFRONT_pumpBatteryRPMTarget,2,2,DBC_DEFINITION_CONFLICT
VCFRONT_tempCoolantBatInlet,2,3,DBC_DEFINITION_CONFLICT
