experiment_id,plan_status,scope,signal_key,signal,message,can_id,unit,evidence_requirement,suggested_role,suggested_priority,suggested_report_position,suggested_order,derivation_reason,semantic_status,confidence,uncertainty_flags,review_required,review_decision,effective_role,effective_priority,effective_report_position,effective_order,decision_source,human_reason,reviewer,reviewed_at,chinese_semantic
TM3-009,APPROVED,THIS_EXPERIMENT_ONLY,DI_accelPedalPos,DI_accelPedalPos,DI_systemStatus,0x118,%,建立稳定匀速的输入—请求—执行—运动主线及能源/条件证据,驾驶输入,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,10,由本次稳定匀速命题、车辆电驱边界、控制链和能源交叉验证线推导,已确认,HIGH,,NO,AUTO_ACCEPT,驾驶输入,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,10,CODEX,,,,
TM3-009,APPROVED,THIS_EXPERIMENT_ONLY,DI_gear,DI_gear,DI_systemStatus,0x118,enum/raw,建立稳定匀速的输入—请求—执行—运动主线及能源/条件证据,状态门,P2,CONDITION_SUMMARY+CORE_SIGNAL_TABLE,20,由本次稳定匀速命题、车辆电驱边界、控制链和能源交叉验证线推导,已确认,HIGH,,NO,AUTO_ACCEPT,状态门,P2,CONDITION_SUMMARY+CORE_SIGNAL_TABLE,20,CODEX,,,,
TM3-009,APPROVED,THIS_EXPERIMENT_ONLY,DI_systemState,DI_systemState,DI_systemStatus,0x118,enum/raw,建立稳定匀速的输入—请求—执行—运动主线及能源/条件证据,状态门,P2,CONDITION_SUMMARY+CORE_SIGNAL_TABLE,30,由本次稳定匀速命题、车辆电驱边界、控制链和能源交叉验证线推导,已确认,HIGH,,NO,AUTO_ACCEPT,状态门,P2,CONDITION_SUMMARY+CORE_SIGNAL_TABLE,30,CODEX,,,,
TM3-009,APPROVED,THIS_EXPERIMENT_ONLY,DI_tractionControlMode,DI_tractionControlMode,DI_systemStatus,0x118,enum/raw,建立稳定匀速的输入—请求—执行—运动主线及能源/条件证据,状态门,P2,CONDITION_SUMMARY+CORE_SIGNAL_TABLE,40,由本次稳定匀速命题、车辆电驱边界、控制链和能源交叉验证线推导,强候选,MEDIUM,STATE_APPLICABILITY_UNCERTAIN,YES,ACCEPT,状态门,P2,CONDITION_SUMMARY+CORE_SIGNAL_TABLE,40,HUMAN,沿用TM3-009已验收Signal角色。,冻结样本迁移,2026-09-01,
TM3-009,APPROVED,THIS_EXPERIMENT_ONLY,DI_torqueCommand,DI_torqueCommand,DI_torque,0x108,Nm,建立稳定匀速的输入—请求—执行—运动主线及能源/条件证据,仲裁后请求,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,50,由本次稳定匀速命题、车辆电驱边界、控制链和能源交叉验证线推导,已确认,HIGH,,NO,AUTO_ACCEPT,仲裁后请求,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,50,CODEX,,,,
TM3-009,APPROVED,THIS_EXPERIMENT_ONLY,DI_torqueActual,DI_torqueActual,DI_torque,0x108,Nm,建立稳定匀速的输入—请求—执行—运动主线及能源/条件证据,执行反馈,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,60,由本次稳定匀速命题、车辆电驱边界、控制链和能源交叉验证线推导,已确认,HIGH,,NO,AUTO_ACCEPT,执行反馈,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,60,CODEX,,,,
TM3-009,APPROVED,THIS_EXPERIMENT_ONLY,DI_axleSpeed,DI_axleSpeed,DI_torque,0x108,RPM,建立稳定匀速的输入—请求—执行—运动主线及能源/条件证据,运动反馈,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,70,由本次稳定匀速命题、车辆电驱边界、控制链和能源交叉验证线推导,已确认,MEDIUM,REPORT_POSITION_AMBIGUOUS,YES,ACCEPT,运动反馈,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,70,HUMAN,沿用TM3-009已验收Signal角色。,冻结样本迁移,2026-09-01,
TM3-009,APPROVED,THIS_EXPERIMENT_ONLY,DI_vehicleSpeed,DI_vehicleSpeed,DI_speed,0x257,kph,建立稳定匀速的输入—请求—执行—运动主线及能源/条件证据,物理结果,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,80,由本次稳定匀速命题、车辆电驱边界、控制链和能源交叉验证线推导,已确认,HIGH,,NO,AUTO_ACCEPT,物理结果,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,80,CODEX,,,,
TM3-009,APPROVED,THIS_EXPERIMENT_ONLY,DI_elecPower,DI_elecPower,DI_power,0x266,kW,建立稳定匀速的输入—请求—执行—运动主线及能源/条件证据,能源交叉验证,P1,CORE_TIMELINE+CORE_SIGNAL_TABLE,90,由本次稳定匀速命题、车辆电驱边界、控制链和能源交叉验证线推导,强候选,MEDIUM,DBC_VERSION_CONFLICT+CROSS_MAINLINE_EVIDENCE,YES,ACCEPT,能源交叉验证,P1,CORE_TIMELINE+CORE_SIGNAL_TABLE,90,HUMAN,沿用TM3-009已验收Signal角色。,冻结样本迁移,2026-09-01,
TM3-009,APPROVED,THIS_EXPERIMENT_ONLY,BMS_packVoltage,BMS_packVoltage,BMS_hvBusStatus,0x132,V,建立稳定匀速的输入—请求—执行—运动主线及能源/条件证据,能源交叉验证,P1,CORE_TIMELINE+CORE_SIGNAL_TABLE,100,由本次稳定匀速命题、车辆电驱边界、控制链和能源交叉验证线推导,已确认,MEDIUM,REPORT_POSITION_AMBIGUOUS,YES,ACCEPT,能源交叉验证,P1,CORE_TIMELINE+CORE_SIGNAL_TABLE,100,HUMAN,沿用TM3-009已验收Signal角色。,冻结样本迁移,2026-09-01,
TM3-009,APPROVED,THIS_EXPERIMENT_ONLY,BMS_packCurrent,BMS_packCurrent,BMS_hvBusStatus,0x132,A,建立稳定匀速的输入—请求—执行—运动主线及能源/条件证据,能源交叉验证,P1,CORE_TIMELINE+CORE_SIGNAL_TABLE,110,由本次稳定匀速命题、车辆电驱边界、控制链和能源交叉验证线推导,已确认,HIGH,CROSS_MAINLINE_EVIDENCE,YES,ACCEPT,能源交叉验证,P1,CORE_TIMELINE+CORE_SIGNAL_TABLE,110,HUMAN,沿用TM3-009已验收Signal角色。,冻结样本迁移,2026-09-01,
TM3-009,APPROVED,THIS_EXPERIMENT_ONLY,BMS_socUI,BMS_socUI,BMS_socStatus,0x292,%,建立稳定匀速的输入—请求—执行—运动主线及能源/条件证据,状态条件,P2,CONDITION_SUMMARY+CORE_SIGNAL_TABLE,120,由本次稳定匀速命题、车辆电驱边界、控制链和能源交叉验证线推导,已确认,HIGH,,NO,AUTO_ACCEPT,状态条件,P2,CONDITION_SUMMARY+CORE_SIGNAL_TABLE,120,CODEX,,,,
TM3-009,APPROVED,THIS_EXPERIMENT_ONLY,DI_sysDrivePowerMax,DI_sysDrivePowerMax,DI_systemPower,0x268,kW,建立稳定匀速的输入—请求—执行—运动主线及能源/条件证据,能力背景,P2,CAPABILITY_SUMMARY+CORE_SIGNAL_TABLE,130,由本次稳定匀速命题、车辆电驱边界、控制链和能源交叉验证线推导,强候选,MEDIUM,PROXY_OBSERVATION,YES,ACCEPT,能力背景,P2,CAPABILITY_SUMMARY+CORE_SIGNAL_TABLE,130,HUMAN,沿用TM3-009已验收Signal角色。,冻结样本迁移,2026-09-01,
TM3-009,APPROVED,THIS_EXPERIMENT_ONLY,DI_sysRegenPowerMax,DI_sysRegenPowerMax,DI_systemPower,0x268,kW,建立稳定匀速的输入—请求—执行—运动主线及能源/条件证据,能力背景,P2,CAPABILITY_SUMMARY+CORE_SIGNAL_TABLE,140,由本次稳定匀速命题、车辆电驱边界、控制链和能源交叉验证线推导,强候选,MEDIUM,PROXY_OBSERVATION,YES,ACCEPT,能力背景,P2,CAPABILITY_SUMMARY+CORE_SIGNAL_TABLE,140,HUMAN,沿用TM3-009已验收Signal角色。,冻结样本迁移,2026-09-01,
TM3-009,APPROVED,THIS_EXPERIMENT_ONLY,PackPower_derived,Pack功率(同帧V×I派生),BMS_hvBusStatus,0x132,kW,以Pack侧功率交叉验证电驱能源响应,能源交叉验证,P1,CORE_TIMELINE+ANALYSIS_WINDOW,115,由同一0x132帧的电压和电流计算，不是DBC原生Signal,已确认,HIGH,,NO,AUTO_ACCEPT,能源交叉验证,P1,CORE_TIMELINE+ANALYSIS_WINDOW,115,CODEX,,,,
