candidate_a,candidate_b,pearson_100ms_hold,relationship,boundary
0x204/DLC8/B4,0x132/DLC6/B2,0.999777,SYNCHRONOUS_TRAJECTORY,"correlation does not prove shared field, derivation, causation, or semantic identity"
0x204/DLC8/B3,0x333/DLC5/B1,0.999637,SYNCHRONOUS_TRAJECTORY,"correlation does not prove shared field, derivation, causation, or semantic identity"
0x204/DLC8/B3,0x212/DLC8/B5,0.999363,SYNCHRONOUS_TRAJECTORY,"correlation does not prove shared field, derivation, causation, or semantic identity"
0x333/DLC5/B1,0x212/DLC8/B5,0.998907,SYNCHRONOUS_TRAJECTORY,"correlation does not prove shared field, derivation, causation, or semantic identity"
0x264/DLC6/B2,0x264/DLC6/B3,0.998524,SAME_CAN_ID_ADJACENT,"correlation does not prove shared field, derivation, causation, or semantic identity"
0x212/DLC8/B2,0x2A3/DLC7/B4,0.998438,SYNCHRONOUS_TRAJECTORY,"correlation does not prove shared field, derivation, causation, or semantic identity"
0x132/DLC6/B2,0x264/DLC6/B3,0.9982,SYNCHRONOUS_TRAJECTORY,"correlation does not prove shared field, derivation, causation, or semantic identity"
0x204/DLC8/B4,0x264/DLC6/B3,0.998016,SYNCHRONOUS_TRAJECTORY,"correlation does not prove shared field, derivation, causation, or semantic identity"
0x292/DLC8/B6,0x472/DLC8/B1,0.997182,SYNCHRONOUS_TRAJECTORY,"correlation does not prove shared field, derivation, causation, or semantic identity"
0x264/DLC6/B2,0x2A3/DLC7/B4,0.996369,SYNCHRONOUS_TRAJECTORY,"correlation does not prove shared field, derivation, causation, or semantic identity"
0x132/DLC6/B2,0x264/DLC6/B2,0.996148,SYNCHRONOUS_TRAJECTORY,"correlation does not prove shared field, derivation, causation, or semantic identity"
0x204/DLC8/B4,0x264/DLC6/B2,0.99554,SYNCHRONOUS_TRAJECTORY,"correlation does not prove shared field, derivation, causation, or semantic identity"
0x264/DLC6/B2,0x212/DLC8/B2,0.994786,SYNCHRONOUS_TRAJECTORY,"correlation does not prove shared field, derivation, causation, or semantic identity"
0x252/DLC8/B4,0x212/DLC8/B5,0.994055,SYNCHRONOUS_TRAJECTORY,"correlation does not prove shared field, derivation, causation, or semantic identity"
0x264/DLC6/B3,0x2A3/DLC7/B4,0.993725,SYNCHRONOUS_TRAJECTORY,"correlation does not prove shared field, derivation, causation, or semantic identity"
0x252/DLC8/B4,0x333/DLC5/B1,0.993644,SYNCHRONOUS_TRAJECTORY,"correlation does not prove shared field, derivation, causation, or semantic identity"
0x252/DLC8/B4,0x204/DLC8/B3,0.993298,SYNCHRONOUS_TRAJECTORY,"correlation does not prove shared field, derivation, causation, or semantic identity"
0x264/DLC6/B3,0x212/DLC8/B2,0.991928,SYNCHRONOUS_TRAJECTORY,"correlation does not prove shared field, derivation, causation, or semantic identity"
0x132/DLC6/B2,0x2A3/DLC7/B4,0.991257,SYNCHRONOUS_TRAJECTORY,"correlation does not prove shared field, derivation, causation, or semantic identity"
0x204/DLC8/B4,0x2A3/DLC7/B4,0.990366,SYNCHRONOUS_TRAJECTORY,"correlation does not prove shared field, derivation, causation, or semantic identity"
0x472/DLC8/B1,0x212/DLC8/B5,0.990185,SYNCHRONOUS_TRAJECTORY,"correlation does not prove shared field, derivation, causation, or semantic identity"
0x132/DLC6/B2,0x212/DLC8/B2,0.989266,SYNCHRONOUS_TRAJECTORY,"correlation does not prove shared field, derivation, causation, or semantic identity"
0x292/DLC8/B6,0x212/DLC8/B5,0.989199,SYNCHRONOUS_TRAJECTORY,"correlation does not prove shared field, derivation, causation, or semantic identity"
0x204/DLC8/B4,0x212/DLC8/B2,0.988454,SYNCHRONOUS_TRAJECTORY,"correlation does not prove shared field, derivation, causation, or semantic identity"
0x252/DLC8/B4,0x292/DLC8/B6,0.988392,SYNCHRONOUS_TRAJECTORY,"correlation does not prove shared field, derivation, causation, or semantic identity"
0x252/DLC8/B4,0x472/DLC8/B1,0.988351,SYNCHRONOUS_TRAJECTORY,"correlation does not prove shared field, derivation, causation, or semantic identity"
0x333/DLC5/B1,0x472/DLC8/B1,0.988295,SYNCHRONOUS_TRAJECTORY,"correlation does not prove shared field, derivation, causation, or semantic identity"
0x204/DLC8/B3,0x472/DLC8/B1,0.987934,SYNCHRONOUS_TRAJECTORY,"correlation does not prove shared field, derivation, causation, or semantic identity"
0x292/DLC8/B6,0x333/DLC5/B1,0.987567,SYNCHRONOUS_TRAJECTORY,"correlation does not prove shared field, derivation, causation, or semantic identity"
0x292/DLC8/B6,0x204/DLC8/B3,0.986858,SYNCHRONOUS_TRAJECTORY,"correlation does not prove shared field, derivation, causation, or semantic identity"
