experiment_id,signal_key,signal,message,can_id,unit,evidence_requirement,suggested_role,suggested_priority,suggested_report_position,suggested_order,derivation_reason,semantic_status,confidence,uncertainty_flags,review_required,chinese_semantic
TM3-015,CP_chargeDoorOpen,CP_chargeDoorOpen,CP_status,0x25D,enum,ER-01,外部动作反馈,P1,CORE_TIMELINE+CORE_SIGNAL_TABLE,10,区分开口与插枪,DBC定义候选,MEDIUM,SEMANTIC_CANDIDATE,YES,充电口盖开启状态（DBC定义候选，待本车验证）
TM3-015,CP_chargeCablePresent,CP_chargeCablePresent,CP_status,0x25D,enum,ER-01/ER-07,连接状态,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,20,投射插枪与拔枪,DBC定义候选,MEDIUM,SEMANTIC_CANDIDATE+BOUNDARY_CROSSING,YES,充电线缆存在状态（待验证，不替代实际插拔记录）
TM3-015,CP_chargeCableSecured,CP_chargeCableSecured,CP_status,0x25D,enum,ER-01/ER-07,安全状态门,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,30,区分存在与固定,DBC定义候选,MEDIUM,SEMANTIC_CANDIDATE+BOUNDARY_CROSSING,YES,充电线缆已固定状态（具体锁止含义待验证）
TM3-015,CP_latchState,CP_latchState,CP_status,0x25D,enum,ER-01/ER-07,安全状态门,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,40,投射锁止与释放,DBC定义候选,MEDIUM,SEMANTIC_CANDIDATE+BOUNDARY_CROSSING,YES,充电枪锁止机构状态（待验证，不单独作为安全拔枪依据）
TM3-015,CP_evseChargeType,CP_evseChargeType,CP_evseStatus,0x21D,enum,ER-02,连接类型状态,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,50,区分DC与AC类型,DBC定义候选,MEDIUM,SEMANTIC_CANDIDATE+DBC_VERSION_CONFLICT,YES,车辆侧可见的EVSE充电类型候选（直流/交流枚举待验证）
TM3-015,CP_digitalCommsEstablished,CP_digitalCommsEstablished,CP_evseStatus,0x21D,enum,ER-02,协商状态,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,60,可见通信代理,DBC定义候选,MEDIUM,PROXY_OBSERVATION+SEMANTIC_CANDIDATE,YES,车辆侧数字通信已建立候选状态（不代表完整协议握手）
TM3-015,CP_evseRequest,CP_evseRequest,CP_evseStatus,0x21D,enum,ER-02,请求,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,70,请求主体和层级不明,DBC定义候选,LOW,NODE_BINDING_UNCERTAIN+SEMANTIC_CANDIDATE,YES,EVSE请求候选状态（请求主体及控制层级待验证）
TM3-015,CP_evseAccept,CP_evseAccept,CP_evseStatus,0x21D,enum,ER-02,许可反馈,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,80,不等同平台接受,DBC定义候选,LOW,NODE_BINDING_UNCERTAIN+SEMANTIC_CANDIDATE,YES,EVSE接受候选状态（不等同扫码或支付平台接受）
TM3-015,CP_gbState,CP_gbState,CP_evseStatus,0x21D,enum,ER-02/ER-06,状态机,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE+ANALYSIS_WINDOW,90,DBC位段位宽冲突,DBC冲突候选,LOW,DBC_VERSION_CONFLICT+SEMANTIC_CANDIDATE+SUFFICIENCY_RULE_UNCONFIRMED,YES,国标直流充电状态机候选（位段/位宽冲突未解决）
TM3-015,CP_hvChargeStatus,CP_hvChargeStatus,CP_chargeStatus,0x13D,enum,ER-03/ER-06,充电许可/状态,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,100,车辆侧高压充电状态,DBC定义候选,MEDIUM,SEMANTIC_CANDIDATE,YES,车辆侧高压充电状态候选（连接/测试/使能等枚举待验证）
TM3-015,CP_chargeShutdownRequest,CP_chargeShutdownRequest,CP_chargeStatus,0x13D,enum,ER-06,停止请求,P0,CORE_TIMELINE+ANALYSIS_WINDOW,110,不预设唯一正式请求,DBC定义候选,MEDIUM,SEMANTIC_CANDIDATE+MULTIPLE_POSSIBLE_ROLES,YES,充电关断请求候选（正常/紧急及请求主体待验证）
TM3-015,CP_stopChargeRequest,CP_stopChargeRequest,CP_evseStatus,0x21D,enum,ER-06,停止请求,P0,CORE_TIMELINE+ANALYSIS_WINDOW,120,与另一候选共同验证,DBC定义候选,LOW,NODE_BINDING_UNCERTAIN+SEMANTIC_CANDIDATE+MULTIPLE_POSSIBLE_ROLES,YES,停止充电请求候选（与关断请求的层级关系待验证）
