experiment_id,plan_status,scope,signal_key,signal,message,can_id,unit,evidence_requirement,suggested_role,suggested_priority,suggested_report_position,suggested_order,derivation_reason,semantic_status,confidence,uncertainty_flags,review_required,review_decision,effective_role,effective_priority,effective_report_position,effective_order,decision_source,human_reason,reviewer,reviewed_at
TM3-007,APPROVED,THIS_EXPERIMENT_ONLY,NetworkFrameRate_derived,报文频率(派生),ASC,derived,frames/s,ER-01,休眠/唤醒网络反馈,P0,CORE_TIMELINE+NETWORK_WAKE_SUMMARY,10,由起始低通信与唤醒后网络对比需求推导,PARTIALLY_VALIDATED,MEDIUM,DOMAIN_SLEEP_PROXY,YES,ACCEPT,休眠/唤醒网络反馈,P0,CORE_TIMELINE+NETWORK_WAKE_SUMMARY,10,HUMAN,接受Draft建议；起始状态只允许称为本采集域低通信候选；Planned Time仅用于粗定位,用户,2026-09-01
TM3-007,APPROVED,THIS_EXPERIMENT_ONLY,ActiveCanIdCount_derived,活跃CAN_ID数(派生),ASC,derived,count,ER-01,控制器分批唤醒代理,P1,NETWORK_WAKE_SUMMARY,20,由网络唤醒观测需求推导,PARTIALLY_VALIDATED,MEDIUM,DOMAIN_OBSERVATION_ONLY,YES,ACCEPT,控制器分批唤醒代理,P1,NETWORK_WAKE_SUMMARY,20,HUMAN,接受Draft建议；仅作为本采集域代理；不等同整车控制器数量或整车真实休眠,用户,2026-09-01
TM3-007,APPROVED,THIS_EXPERIMENT_ONLY,VCLEFT_frontLatchStatus,VCLEFT_frontLatchStatus,VCLEFT_doorStatus,0x102,enum,ER-02+ER-03,驾驶门闩反馈,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,30,由开门和关门动作与车身反馈需求推导,PARTIALLY_VALIDATED,MEDIUM,DBC_VERSION_CONFLICT+EVENT_ANCHOR_MISSING,YES,ACCEPT,驾驶门闩反馈,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,30,HUMAN,接受Draft建议；跨DBC冲突须并列验证；无Observed Event Time时不确认精确人工动作时刻,用户,2026-09-01
TM3-007,APPROVED,THIS_EXPERIMENT_ONLY,VCLEFT_frontOccupancyStatus,VCLEFT_frontOccupancyStatus,VCLEFT_restraintStatus,0x30A,enum,ER-03,驾驶员入座反馈,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,40,由入座动作和占座条件节点推导,PARTIALLY_VALIDATED,MEDIUM,DBC_APPLICABILITY_UNVERIFIED+EVENT_ANCHOR_MISSING,YES,ACCEPT,驾驶员入座反馈,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,40,HUMAN,接受Draft建议；须验证覆盖与枚举方向；无Observed Event Time时不确认精确入座时刻,用户,2026-09-01
TM3-007,APPROVED,THIS_EXPERIMENT_ONLY,DI_brakePedalState,DI_brakePedalState,DI_systemStatus,0x118,enum,ER-04,制动条件输入,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,50,由制动条件输入节点推导,STRONGLY_SUPPORTED,HIGH,EVENT_ANCHOR_MISSING,YES,ACCEPT,制动条件输入,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,50,HUMAN,接受Draft建议；不等同READY请求；无Observed Event Time时不形成精确人工动作到CAN响应延迟,用户,2026-09-01
TM3-007,APPROVED,THIS_EXPERIMENT_ONLY,DI_gear,DI_gear,DI_systemStatus,0x118,enum,ER-07+ER-09,挡位反馈/状态门,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,60,由挂D和回P状态验证需求推导,STRONGLY_SUPPORTED,HIGH,FEEDBACK_NOT_RAW_REQUEST,YES,ACCEPT,挡位反馈/状态门,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,60,HUMAN,接受Draft建议；保持为挡位反馈而非原始换挡请求；不自动升级语义,用户,2026-09-01
TM3-007,APPROVED,THIS_EXPERIMENT_ONLY,DI_systemState,DI_systemState,DI_systemStatus,0x118,enum,ER-07+ER-09,电驱状态/ENABLE候选,P0,CORE_TIMELINE+CONTROL_RELATIONSHIP,70,由可驱动状态建立需求推导,STRONGLY_SUPPORTED,HIGH,NOT_WHOLE_VEHICLE_READY,YES,ACCEPT,电驱状态/ENABLE候选,P0,CORE_TIMELINE+CONTROL_RELATIONSHIP,70,HUMAN,接受Draft建议；仅作为电驱状态或ENABLE候选；不单独等同整车READY,用户,2026-09-01
TM3-007,APPROVED,THIS_EXPERIMENT_ONLY,UI_readyForDrive,UI_readyForDrive,UI_status,0x353,boolean,ER-07,仪表/用户层可驱动反馈候选,P1,READY_CROSSCHECK_TABLE,80,由可驱动状态的独立显示层交叉验证需求推导,PARTIALLY_VALIDATED,MEDIUM,DBC_VERSION_CONFLICT+CONSUMER_SIGNAL,YES,ACCEPT,仪表/用户层可驱动反馈候选,P1,READY_CROSSCHECK_TABLE,80,HUMAN,接受Draft建议；保持为显示层交叉验证；不作为高压或驱动许可源头,用户,2026-09-01
TM3-007,APPROVED,THIS_EXPERIMENT_ONLY,BMS_hvState,BMS_hvState,BMS_status,0x212,enum,ER-05+ER-06+ER-09,BMS高压状态,P0,CORE_TIMELINE+HV_CHAIN_TABLE,90,由高压建立状态机节点推导,STRONGLY_SUPPORTED,HIGH,ENUM_SEQUENCE_REQUIRES_VALIDATION,YES,ACCEPT,BMS高压状态,P0,CORE_TIMELINE+HV_CHAIN_TABLE,90,HUMAN,接受Draft建议；须评价完整枚举状态序列；不自动升级具体状态语义,用户,2026-09-01
TM3-007,APPROVED,THIS_EXPERIMENT_ONLY,BMS_contactorState,BMS_contactorState,BMS_status,0x212,enum,ER-06+ER-09,BMS接触器总状态,P0,CORE_TIMELINE+HV_CHAIN_TABLE,100,由接触器执行与反馈节点推导,STRONGLY_SUPPORTED,HIGH,AGGREGATE_STATE,YES,ACCEPT,BMS接触器总状态,P0,CORE_TIMELINE+HV_CHAIN_TABLE,100,HUMAN,接受Draft建议；仅为接触器总状态；不能替代正负接触器及预充支路独立反馈,用户,2026-09-01
